GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup,GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName,GeneralHabitats.GeneralHabitatsSubfield.majorImportance,GeneralHabitats.GeneralHabitatsSubfield.season,GeneralHabitats.GeneralHabitatsSubfield.suitability,assessment_id,internal_taxon_id,internal_taxon_name
5.9,,,Resident,Suitable,202052715,78928690,Hyla savignyi
18,,,,Suitable,207984541,58054,Pelobates varaldii
3.4,,,,Suitable,211757998,211757868,Lissotriton schmidtleri
15.2,,,,Suitable,211757998,211757868,Lissotriton schmidtleri
3.8,,,,Suitable,211757998,211757868,Lissotriton schmidtleri
4.4,,,,Suitable,211757998,211757868,Lissotriton schmidtleri
14.1,,,,Suitable,211757998,211757868,Lissotriton schmidtleri
14.2,,,Resident,Suitable,223143581,172313717,Pelobates syriacus
14.1,,,Resident,Marginal,223143581,172313717,Pelobates syriacus
14.5,,,Resident,Marginal,223143581,172313717,Pelobates syriacus
15.2,,,Breeding Season,Suitable,223143581,172313717,Pelobates syriacus
3.4,,,Resident,Suitable,223143581,172313717,Pelobates syriacus
3.5,,,Resident,Suitable,223143581,172313717,Pelobates syriacus
3.8,,,Resident,Suitable,223143581,172313717,Pelobates syriacus
4.4,,,Resident,Suitable,223143581,172313717,Pelobates syriacus
5.1,,,Breeding Season,Marginal,223143581,172313717,Pelobates syriacus
5.2,,,Breeding Season,Suitable,223143581,172313717,Pelobates syriacus
5.7,,,Breeding Season,Suitable,223143581,172313717,Pelobates syriacus
1.4,,,Resident,Suitable,223143581,172313717,Pelobates syriacus
5.5,,,Breeding Season,Marginal,223143581,172313717,Pelobates syriacus
5.8,,,Breeding Season,Suitable,223143581,172313717,Pelobates syriacus
8.2,,,Resident,Suitable,223143581,172313717,Pelobates syriacus
